Placa,MES_1,MES_2,MES_3,MES_4,MES_ATUAL,RESULTADO,Marca
GeForce RTX 3060,4.74,4.88,4.87,6.27,9.92,3.65,NVIDIA
GeForce RTX 2060,4.15,4.10,3.94,4.69,6.07,1.38,NVIDIA
GeForce RTX 3070,2.99,3.26,3.20,3.62,5.18,1.56,NVIDIA
GeForce GTX 1060,4.58,4.60,4.31,4.69,5.09,0.4,NVIDIA
GeForce RTX 3060 Ti,3.42,3.43,3.53,4.04,4.95,0.91,NVIDIA
GeForce GTX 1650,5.67,5.30,5.11,4.78,3.63,-1.15,NVIDIA
GeForce RTX 3060 Laptop GPU,4.28,3.76,4.29,3.83,2.74,-1.09,NVIDIA
GeForce RTX 3080,2.02,2.22,2.25,2.16,2.64,0.48,NVIDIA
GeForce GTX 1050 Ti,3.61,3.50,3.26,3.12,2.44,-0.68,NVIDIA
GeForce GTX 1660 SUPER,2.62,2.56,2.57,2.54,2.19,-0.35,NVIDIA
GeForce RTX 4070,0.36,0.55,0.72,0.95,2.14,1.19,NVIDIA
GeForce RTX 3050,2.66,2.46,2.63,2.59,2.08,-0.51,NVIDIA
GeForce RTX 3070 Ti,1.42,1.46,1.50,1.53,1.91,0.38,NVIDIA
GeForce RTX 4060,0,0,0.23,0.54,1.79,1.25,NVIDIA
GeForce GTX 1660,3.30,1.26,1.18,1.45,1.78,0.33,NVIDIA
GeForce RTX 2060 SUPER,1.26,1.28,1.26,1.47,1.73,0.26,NVIDIA
GeForce RTX 2070,1.00,1.07,1.04,1.18,1.56,0.38,NVIDIA
GeForce GTX 1660 Ti,2.09,2.02,2.13,1.86,1.52,-0.34,NVIDIA
Radeon Graphics,2.01,2.08,2.03,1.88,1.50,-0.38,AMD
GeForce RTX 4060 Ti,0,0.23,0.38,0.66,1.44,0.78,NVIDIA
GeForce RTX 2070 SUPER,1.39,1.43,1.41,1.40,1.41,0.01,NVIDIA
Iris Xe Graphics,0,0,0,0,1.41,1.41,Intel
GeForce RTX 4060 Laptop GPU,0.81,0.93,1.63,1.76,1.41,-0.35,NVIDIA
GeForce GTX 1070,1.51,1.59,1.52,1.41,1.21,-0.2,NVIDIA
GeForce GTX 1050,1.78,1.75,1.63,1.52,1.15,-0.37,NVIDIA
UHD Graphics,1.49,1.53,1.44,1.33,1.11,-0.22,INTEL
